game,spread
Arizona Cardinals @ Atlanta Falcons,2.5
Baltimore Ravens @ Buffalo Bills,-3.0
Carolina Panthers @ Chicago Bears,1.5
Cincinnati Bengals @ Cleveland Browns,-2.0
Dallas Cowboys @ Denver Broncos,3.5
Detroit Lions @ Green Bay Packers,-1.0
Houston Texans @ Indianapolis Colts,4.0
Jacksonville Jaguars @ Kansas City Chiefs,-6.5
Las Vegas Raiders @ Los Angeles Chargers,2.0
Los Angeles Rams @ Miami Dolphins,-2.5
Minnesota Vikings @ New England Patriots,1.0
New Orleans Saints @ New York Giants,-3.5
New York Jets @ Philadelphia Eagles,2.5
Pittsburgh Steelers @ San Francisco 49ers,-4.0
Seattle Seahawks @ Tampa Bay Buccaneers,3.0
Tennessee Titans @ Washington Commanders,-1.5
