week,user,game,spread,pick,timestamp,correct
1,Louis,Arizona Cardinals @ Atlanta Falcons,-2.5,Arizona Cardinals,2025-08-01 12:00,1
1,Miles,Arizona Cardinals @ Atlanta Falcons,-2.5,Atlanta Falcons,2025-08-01 12:01,1
1,Jack,Arizona Cardinals @ Atlanta Falcons,-2.5,Arizona Cardinals,2025-08-01 12:02,0
1,Louis,Baltimore Ravens @ Buffalo Bills,3.0,Baltimore Ravens,2025-08-01 12:03,1
1,Miles,Baltimore Ravens @ Buffalo Bills,3.0,Buffalo Bills,2025-08-01 12:04,0
1,Jack,Baltimore Ravens @ Buffalo Bills,3.0,Baltimore Ravens,2025-08-01 12:05,1
1,Louis,Carolina Panthers @ Chicago Bears,-1.5,Chicago Bears,2025-08-01 12:06,1
1,Miles,Carolina Panthers @ Chicago Bears,-1.5,Chicago Bears,2025-08-01 12:07,1
1,Jack,Carolina Panthers @ Chicago Bears,-1.5,Carolina Panthers,2025-08-01 12:08,0
1,Louis,Cincinnati Bengals @ Cleveland Browns,-4.0,Cincinnati Bengals,2025-08-01 12:09,1
1,Miles,Cincinnati Bengals @ Cleveland Browns,-4.0,Cleveland Browns,2025-08-01 12:10,1
1,Jack,Cincinnati Bengals @ Cleveland Browns,-4.0,Cincinnati Bengals,2025-08-01 12:11,0
1,Louis,Dallas Cowboys @ Denver Broncos,2.5,Dallas Cowboys,2025-08-01 12:12,1
1,Miles,Dallas Cowboys @ Denver Broncos,2.5,Denver Broncos,2025-08-01 12:13,0
1,Jack,Dallas Cowboys @ Denver Broncos,2.5,Dallas Cowboys,2025-08-01 12:14,1
1,Louis,Detroit Lions @ Green Bay Packers,-3.5,Green Bay Packers,2025-08-01 12:15,1
1,Miles,Detroit Lions @ Green Bay Packers,-3.5,Green Bay Packers,2025-08-01 12:16,1
1,Jack,Detroit Lions @ Green Bay Packers,-3.5,Detroit Lions,2025-08-01 12:17,0
1,Louis,Houston Texans @ Indianapolis Colts,1.0,Houston Texans,2025-08-01 12:18,1
1,Miles,Houston Texans @ Indianapolis Colts,1.0,Houston Texans,2025-08-01 12:19,0
1,Jack,Houston Texans @ Indianapolis Colts,1.0,Indianapolis Colts,2025-08-01 12:20,1
1,Louis,Jacksonville Jaguars @ Kansas City Chiefs,-2.5,Jacksonville Jaguars,2025-08-01 12:21,1
1,Miles,Jacksonville Jaguars @ Kansas City Chiefs,-2.5,Kansas City Chiefs,2025-08-01 12:22,1
1,Jack,Jacksonville Jaguars @ Kansas City Chiefs,-2.5,Jacksonville Jaguars,2025-08-01 12:23,0
1,Louis,Las Vegas Raiders @ Los Angeles Chargers,3.5,Los Angeles Chargers,2025-08-01 12:24,1
1,Miles,Las Vegas Raiders @ Los Angeles Chargers,3.5,Las Vegas Raiders,2025-08-01 12:25,0
1,Jack,Las Vegas Raiders @ Los Angeles Chargers,3.5,Las Vegas Raiders,2025-08-01 12:26,1
1,Louis,Los Angeles Rams @ Miami Dolphins,-1.0,Los Angeles Rams,2025-08-01 12:27,1
1,Miles,Los Angeles Rams @ Miami Dolphins,-1.0,Los Angeles Rams,2025-08-01 12:28,1
1,Jack,Los Angeles Rams @ Miami Dolphins,-1.0,Miami Dolphins,2025-08-01 12:29,0
1,Louis,Minnesota Vikings @ New England Patriots,2.0,New England Patriots,2025-08-01 12:30,1
1,Miles,Minnesota Vikings @ New England Patriots,2.0,Minnesota Vikings,2025-08-01 12:31,0
1,Jack,Minnesota Vikings @ New England Patriots,2.0,Minnesota Vikings,2025-08-01 12:32,1
1,Louis,New Orleans Saints @ New York Giants,-2.5,New York Giants,2025-08-01 12:33,1
1,Miles,New Orleans Saints @ New York Giants,-2.5,New York Giants,2025-08-01 12:34,0
1,Jack,New Orleans Saints @ New York Giants,-2.5,New Orleans Saints,2025-08-01 12:35,1
1,Louis,New York Jets @ Philadelphia Eagles,1.5,Philadelphia Eagles,2025-08-01 12:36,1
1,Miles,New York Jets @ Philadelphia Eagles,1.5,Philadelphia Eagles,2025-08-01 12:37,1
1,Jack,New York Jets @ Philadelphia Eagles,1.5,New York Jets,2025-08-01 12:38,0
1,Louis,Pittsburgh Steelers @ San Francisco 49ers,-3.0,Pittsburgh Steelers,2025-08-01 12:39,1
1,Miles,Pittsburgh Steelers @ San Francisco 49ers,-3.0,San Francisco 49ers,2025-08-01 12:40,0
1,Jack,Pittsburgh Steelers @ San Francisco 49ers,-3.0,Pittsburgh Steelers,2025-08-01 12:41,1
1,Louis,Seattle Seahawks @ Tampa Bay Buccaneers,2.5,Seattle Seahawks,2025-08-01 12:42,1
