week,user,game,spread,pick,timestamp
1,Gabe,Dallas Cowboys @ Philadelphia Eagles,-7.0,Philadelphia Eagles,2025-08-20T10:31:48
1,Gabe,Kansas City Chiefs @ Los Angeles Chargers,3.0,Los Angeles Chargers,2025-08-20T10:31:48
1,Gabe,Arizona Cardinals @ New Orleans Saints,6.0,New Orleans Saints,2025-08-20T10:31:48
1,Gabe,Tampa Bay Buccaneers @ Atlanta Falcons,1.5,Atlanta Falcons,2025-08-20T10:31:48
1,Gabe,Carolina Panthers @ Jacksonville Jaguars,-3.0,Jacksonville Jaguars,2025-08-20T10:31:48
1,Gabe,Miami Dolphins @ Indianapolis Colts,-1.5,Indianapolis Colts,2025-08-20T10:31:48
1,Gabe,Las Vegas Raiders @ New England Patriots,-3.0,New England Patriots,2025-08-20T10:31:48
1,Gabe,New York Giants @ Washington Commanders,-6.0,Washington Commanders,2025-08-20T10:31:48
1,Gabe,Pittsburgh Steelers @ New York Jets,3.0,New York Jets,2025-08-20T10:31:48
1,Gabe,Cincinnati Bengals @ Cleveland Browns,5.5,Cleveland Browns,2025-08-20T10:31:48
1,Gabe,Tennessee Titans @ Denver Broncos,-7.5,Denver Broncos,2025-08-20T10:31:48
1,Gabe,San Francisco 49ers @ Seattle Seahawks,2.5,Seattle Seahawks,2025-08-20T10:31:48
1,Gabe,Detroit Lions @ Green Bay Packers,-1.5,Green Bay Packers,2025-08-20T10:31:48
1,Gabe,Houston Texans @ Los Angeles Rams,-2.5,Los Angeles Rams,2025-08-20T10:31:48
1,Gabe,Baltimore Ravens @ Buffalo Bills,-1.5,Buffalo Bills,2025-08-20T10:31:48
1,Gabe,Minnesota Vikings @ Chicago Bears,2.5,Chicago Bears,2025-08-20T10:31:48
